Individual ID,SearchTerm,FirstAuthor,Year,Journal,StudyType,StudyLocation,StudyPeriod,Season,NYears,Predator subphylum,Predator class,n_predators,predtypes,Predator species,n_prey,preytypes,Prey 1,Prey2,Prey3,Prey4 etc.,DietMeasure,DietMethod,PreyMeasure,PreyMethod,Proportional,Preference,Vulnerability,VulnerabilitySection,PreyInfo?,Missing,n_traits,trait_1,trait_2,trait_3,TraitSection,PredatorDependent,FRCurves,FRType,Metric,Energy,Search Image/ strategy/learning,PredatorsLarger,SocialPredators?,Notes
1,"prey switching, Type III functional response",Delibes-Mateos,2008,Eur J Wildl Res,Field,central-southern Spain,2002,summer,1,,mam,1,species,Vulpes vulpes,1,species,Oryctolagus cuniculus,,,,diet composition,scat,abundance,pellet counts,1,1,1,Discussion,0,"Alternative prey densties reported, no trait discussed",1,Body size,,,Discussion,,1,III,negative SDI,,,1,0,
2,kill rate AND multiprey,Sand,2012,Oikos,Field,south-central Scandinavia,2001-2008,winter,8,,mam,1,species,Canis lupus,2,age class,Alces alces adults,Alces alces calves,,,"kills/day, kg/day",aerial,abundance,"pellet counts, aerial survey",0,1,1,Introduction,1,,2,Body size,Movement rate,,Discussion,ratio,1,II,GLMM,,,2,1,"Moose calves are easier to kill and wolves prefer them, did not separate calves and adults for the FR but do proportion in population"
2,,,,,,Isle Royale,1971-2010,winter,40,,,1,,Canis lupus,,,,,,,,,,aerial survey,,,"""""","""""",,,,,,,,,,,,,,,,
3,kill rate AND multiprey,Knopf,2010,Journal of Wildlife Management,Field,west-central Alberta,1998-2009,winter,10,,mam,6,"age, sex, species",Puma concolor,9,"species, size, age",Large ungulates,Small ungulates,Non-ungulate,,"kg/day, biomass composition","GPS, snow tracking",relative abundance,,0,1,1,Introduction,0,No prey densities reported,3,Body size,Group formation,Hiding,Introduction,,0,,"Change in diet over time, diet by predator type",,,2,0,"Cougars selected more juvenile prey when available and selected vulnerable prey when available, search rate more important than handling times. Estimates of search time and handling time."
4,prey switching,Latham,2013,Ecography,Field,northeastern Alberta,2006-2008,"winter, summer",2,,mam,1,species,Canis lupus,4,species,Deer,Beaver,Moose,Caribou,diet composition,hair in scat,RSF,aerial survey,Unknown,1,1,Discussion,0,No prey densities reported,1,Body size,,,Biomass in Introduction,,0,,"% in diet, Relative probability of selection",,,2,1,"Wolves selected mostly small prey, white tailed deer in winter and beaver in summer"
5,prey switching,Jaworski,2013,PLOSONE,Lab,Beltsville Agricultural Research Centre,,,,arthropods,insecta,1,species,Macrolophus pygmaeus,2,species,Bemisa tabaci,Tuta absoluta,,,attack rates,observation,abundance,observation,0,1,1,Introduction,1,,2,Spatial refuge,Motion,,Introduction,,1,II,Manly's B ,,,?,0,
6,prey selection,Sand,2016,PLOSONE,Field,Scandinavia,2001-2014,,14,,mam,1,species,Canis lupus,2,species,Moose,Roe deer,,,kills,GPS,density,pellet counts,0,1,0,Introduction,1,,2,Body size,Movement in snow,Group formation,Discussion,,1,II,Jacob's Preference Index,,,0,1,"FR just for roe deer, or roe deer vs moose but not just moose, aggregation of roe deer at higher densities might increase their detectability, density effects on vulnerability"
7,prey switching,Ostfeld,1982,Oecologia,Field,"Point Santa Cruz, California",1977-1979,,2,,mam,1,species,California sea otter,5,species,sea urchins,kelp crabs,clams,"abalone, cancer crabs",capture frequency,observation,frequency in habitat,"transects, quadrats, counts",0,1,0,,1,frequencies in diet and habitat,2,Body size,Detectability,,Results and Discussion,,0,,Electivity indices,,1,1,0,"Based on profitability and handling time, search image"
8,prey switching,Warburton,1998,Environmental Biology of Fishes,Lab,southeast Queensland,,,,,fish,1,species,silver perch,2,species,Daphnia,Midge,,,percent diet,stomach content,density,,0,1,0,,0,No prey densities or traits reported,1,Body size,,,Introduction,,1,"II, III",Electivity indices,,1,1,0,"Selection for large species because they are more profitable, "
9,prey switching,Randa,2009,Journal of Mammology,Field,"Fermilab, Chicago",1993-1995,,,,mam,2,species,coyote,6,species,Peromyscus,Microtus,Sylvilagus,"Sciuridaue, Phasianus, Odocoileus",percent in scat,,availability,mark-recapture,0,1,1,Discussion,1,,1,Body size,,,Discussion,,0,,Manly's alpha selectivity,,1,1,0,"Based on energy, abundance, size, handling time"
